listing_id,reviews_total,reviews_last_365d
41910266,4,0
41910293,3,0
41910355,1,0
41910425,1,0
41910929,13,0
41911629,17,2
41911779,29,3
41914303,11,0
41927482,68,17
41947305,1,0
41968147,1,0
41973396,46,0
41973563,25,0
41976810,4,0
41997586,49,6
42015030,10,0
42027507,49,8
42035664,2,0
42044330,95,0
42076047,176,10
42090152,98,23
42097144,312,52
42108143,65,0
42113240,8,4
42142600,225,33
42153615,375,72
42156774,173,12
42195424,3,0
42197468,158,21
42213121,241,48
42251277,1,1
42276669,203,33
42279886,142,0
42281026,11,0
42309994,169,19
42315805,19,0
42335906,40,0
42348297,14,2
42351786,15,1
42366362,18,0
42395555,1,0
42401598,1,0
42401687,3,0
42401841,3,0
42414675,182,29
42427889,2,0
42428071,1,0
42471401,10,4
42509731,70,22
42514649,66,9
42557661,2,0
42573566,65,21
42588723,136,32
42598993,279,51
42638201,20,0
42688942,1,1
42689499,4,1
42704241,28,13
42737135,303,38
42743155,10,0
42757854,1,0
42757880,2,0
42757978,2,0
42795682,67,22
42812355,1,0
42892605,24,5
42899150,4,1
42920816,2,0
42929197,89,11
42933476,26,3
42936720,1,0
42936764,4,0
42936800,1,0
42949553,195,48
42951790,164,30
42952113,195,36
42952568,143,32
42953341,202,47
42953577,194,34
42962445,182,30
42962600,200,37
42970425,1,1
42971032,166,52
43030460,1,0
43054295,2,0
43094362,3,0
43098894,11,0
43113021,10,0
43118752,8,0
43118876,17,0
43125458,2,2
43129585,1,0
43141028,13,0
43164062,100,23
